Genome,Order,Family,Genus,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score,VC Orders,VC Families,VC Genera
k141_29317||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293181||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_2931||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293201||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293202||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293208||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_29322||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293253||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293330||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293363||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293380||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293390||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293396||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293404||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293407||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293491||full,Unassigned,Unassigned,Unassigned,preVC_1552,Clustered,VC_1552_0,3,1.0,0.0,6.620895194745452,0.0,1.0,0,0,0
k141_293500||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293514||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293526||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293568||full,Unassigned,Unassigned,Unassigned,preVC_622,Clustered,VC_622_0,9,0.7429,0.9997161,1.3676280572717154,0.7427,1.0,0,0,0
k141_293587||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293610||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293621||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293755||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_29375||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293778||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293780||full,Unassigned,Unassigned,Unassigned,preVC_528,Clustered,VC_528_0,17,0.3131,1.0,1.7314627121371027,0.3131,1.0,0,0,0
k141_293807||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293864||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293925||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_293950||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294000||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294002||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_29402||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_294056||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294075||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_294130||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_294141||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_29419||full,Unassigned,Unassigned,Unassigned,preVC_1553,Clustered,VC_1553_0,2,0.3848,0.0,3.0,0.0,1.0,0,0,0
k141_294227||full_1,Unassigned,Unassigned,Unassigned,preVC_642,Clustered,VC_642_0,32,0.6465,1.0,3.3300243578792545,0.6465,1.0,0,0,0
k141_294252||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294290||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294318||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294343||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_294376||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294385||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294415||0_partial_1,Unassigned,Unassigned,Unassigned,preVC_462,Clustered,VC_462_0,8,0.6872,1.0,4.488729881950165,0.6872,1.0,0,0,0
k141_294427||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294442||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294497||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294503||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294663||lt2gene,Unassigned,Unassigned,Unassigned,preVC_1322,Clustered,VC_1322_0,11,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_294728||full,Unassigned,Unassigned,Unassigned,preVC_139,Clustered,VC_139_0,24,0.3739,1.0,3.137793834318958,0.3739,1.0,0,0,0
k141_294794||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294801||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294805||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294826||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294904||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294924||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_294995||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295041||full,Unassigned,Unassigned,Unassigned,preVC_1161,Clustered,VC_1161_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_295052||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295061||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295074||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_295084||full,Unassigned,Unassigned,Unassigned,preVC_1554,Clustered,VC_1554_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_295118||full,Unassigned,Unassigned,Unassigned,preVC_842,Clustered,VC_842_0,4,0.4512,0.99934619,3.4471392024695056,0.4509,1.0,0,0,0
k141_295360||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295446||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295484||full,Unassigned,Unassigned,Unassigned,preVC_1555,Clustered,VC_1555_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_295502||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295526||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_295529||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_1052/VC_1557),,,,,,,,,,
k141_295553||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295586||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295621||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295669||full,Unassigned,Unassigned,Unassigned,preVC_1225,Clustered,VC_1225_0,3,0.7898,0.0,1.7638342073763937,0.0,1.0,0,0,0
k141_29568||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295697||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295709||full,Unassigned,Unassigned,Unassigned,preVC_739,Clustered,VC_739_0,9,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_295786||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295787||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295795||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295800||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295822||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295834||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295868||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_295893||full_1,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296061||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296073||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296124||full,Unassigned,Unassigned,Unassigned,preVC_601,Clustered,VC_601_0,4,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_296153||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_296154||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296213||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296222||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296265||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296274||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296339||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296376||full,Unassigned,Unassigned,Unassigned,preVC_1557,Clustered,VC_1557_0,2,1.0,0.0,1.0,0.0,1.0,0,0,0
k141_296397||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296497||full,Unassigned,Unassigned,Unassigned,preVC_1273,Clustered,VC_1273_0,3,1.0,0.0,1.9893729283562223,0.0,1.0,0,0,0
k141_296600||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296639||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_29672||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296736||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296746||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_2967||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296845||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296872||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296940||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_296942||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297099||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297118||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297138||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297177||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297210||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297225||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297237||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297318||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_297330||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297348||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_29737||full_1,Unassigned,Unassigned,Unassigned,preVC_900,Clustered,VC_900_0,2,0.3663,0.82028751,4.69041575982343,0.3004,1.0,0,0,0
k141_297403||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297427||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297456||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_29746||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297484||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297504||full_1,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_297544||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297612||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297623||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_297631||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297711||full_1,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_297712||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297801||full,Unassigned,Unassigned,Unassigned,preVC_419,Clustered,VC_419_0,5,0.5989,0.98642875,3.754915351542288,0.5908,1.0,0,0,0
k141_29793||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_297969||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_297978||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298038||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_29809||full,Unassigned,Unassigned,Unassigned,preVC_1560,Clustered,VC_1560_0,3,1.0,0.0,2.307208565927586,0.0,1.0,0,0,0
k141_298120||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298142||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298221||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298268||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298279||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298341||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298380||full,Unassigned,Unassigned,Unassigned,preVC_435,Clustered,VC_435_0,2,1.0,0.0,2.6457513110645907,0.0,1.0,0,0,0
k141_298382||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298489||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_29849||full,Unassigned,Unassigned,Unassigned,preVC_1041,Clustered,VC_1041_0,8,0.6246,0.99988355,1.548236591759279,0.6246,1.0,0,0,0
k141_298518||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_29860||full,Unassigned,Unassigned,Unassigned,preVC_1436,Clustered,VC_1436_0,3,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_298635||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298708||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298711||0_partial,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_29873||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298760||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_29876||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298771||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_2987||full,Unassigned,Unassigned,Unassigned,preVC_137,Clustered/Singleton,VC_137_1,1,0.0,0.0,0,0.0,1.0,0,0,0
k141_298815||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298924||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_29892||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298941||full,Unassigned,Unassigned,Unassigned,preVC_1302,Clustered,VC_1302_0,4,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_298988||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_298990||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299007||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299019||full,Unassigned,Unassigned,Unassigned,preVC_1524,Clustered,VC_1524_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_299065||full,Unassigned,Unassigned,Unassigned,preVC_1226,Clustered,VC_1226_0,4,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_29909||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299204||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299247||full,Unassigned,Unassigned,Unassigned,preVC_593,Clustered,VC_593_0,29,0.7584,1.0,1.594949397078208,0.7584,1.0,0,0,0
k141_299252||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299273||full,Unassigned,Unassigned,Unassigned,preVC_149,Clustered,VC_149_0,14,0.2545,1.0,2.9009066889707613,0.2545,1.0,0,0,0
k141_299342||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299347||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_698/VC_699/VC_701/VC_703),,,,,,,,,,
k141_299475||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299508||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299521||full,Unassigned,Unassigned,Unassigned,preVC_1561,Clustered,VC_1561_0,5,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_29952||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_299530||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299606||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299613||full_1,Unassigned,Unassigned,Unassigned,preVC_997,Clustered,VC_997_0,2,0.2655,0.2,3.4641016151377544,0.0531,1.0,0,0,0
k141_299678||full,Unassigned,Unassigned,Unassigned,preVC_1318,Clustered,VC_1318_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_29971||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299722||full,Unassigned,Unassigned,Unassigned,preVC_1209,Clustered,VC_1209_0,3,1.0,0.0,1.1380711874576983,0.0,1.0,0,0,0
k141_299752||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299755||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299764||full,Unassigned,Unassigned,Unassigned,preVC_1022,Clustered,VC_1022_0,6,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_299775||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299796||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299853||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299878||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_29987||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299891||full,Unassigned,Unassigned,Unassigned,preVC_861,Clustered,VC_861_0,3,0.5839,0.86135937,2.5803307883041198,0.5029,1.0,0,0,0
k141_299978||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_299993||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300026||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300034||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_30004||full,Unassigned,Unassigned,Unassigned,preVC_1516,Clustered,VC_1516_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_300054||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300066||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300087||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300170||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300238||full,Unassigned,Unassigned,Unassigned,preVC_1423,Clustered,VC_1423_0,13,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_300282||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_300292||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_3002||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300367||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_30042||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_300444||full,Unassigned,Unassigned,Unassigned,preVC_1411,Clustered,VC_1411_0,6,0.8693,0.99163293,1.1818614707571906,0.8621,1.0,0,0,0
k141_300487||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300488||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300489||full_1,Unassigned,Unassigned,Unassigned,preVC_139,Clustered,VC_139_0,24,0.3739,1.0,3.137793834318958,0.3739,1.0,0,0,0
k141_300498||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_30055||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300658||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300709||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300721||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300767||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300851||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_30085||full,Unassigned,Unassigned,Unassigned,preVC_1459,Clustered,VC_1459_0,3,1.0,0.0,1.3820881233139908,0.0,1.0,0,0,0
k141_30086||full,Unassigned,Unassigned,Unassigned,preVC_240,Clustered,VC_240_0,2,0.053,0.8770671,1.4142135623730951,0.0465,1.0,0,0,0
k141_300904||full,Unassigned,Unassigned,Unassigned,preVC_1254,Clustered,VC_1254_0,2,0.4865,0.0,2.0,0.0,1.0,0,0,0
k141_300984||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300985||full,Unassigned,Unassigned,Unassigned,preVC_1254,Clustered,VC_1254_0,2,0.4865,0.0,2.0,0.0,1.0,0,0,0
k141_300995||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_300998||lt2gene,Unassigned,Unassigned,Unassigned,preVC_1562,Clustered,VC_1562_0,3,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_301010||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301016||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301050||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301083||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301109||full,Unassigned,Unassigned,Unassigned,preVC_501,Clustered,VC_501_0,3,0.3204,0.36140792,1.626105059170283,0.1158,1.0,0,0,0
k141_301181||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301225||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301235||full,Unassigned,Unassigned,Unassigned,preVC_1451,Clustered,VC_1451_0,4,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_301299||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301320||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301338||full,Unassigned,Unassigned,Unassigned,preVC_593,Clustered,VC_593_0,29,0.7584,1.0,1.594949397078208,0.7584,1.0,0,0,0
k141_301351||full,Unassigned,Unassigned,Unassigned,preVC_1563,Clustered,VC_1563_0,3,0.795,0.65422141,0.6666666666666666,0.5201,1.0,0,0,0
k141_301414||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301421||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_301517||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_30152||full,Unassigned,Unassigned,Unassigned,preVC_68,Clustered,VC_68_0,3,0.1695,0.76782058,4.545762448303753,0.1302,1.0,0,0,0
k141_301591||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_301608||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301616||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301660||full,Unassigned,Unassigned,Unassigned,preVC_1564,Clustered,VC_1564_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_301677||full,Unassigned,Unassigned,Unassigned,preVC_1452,Clustered,VC_1452_0,4,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_301684||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301690||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301706||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301709||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301718||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301729||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301793||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_30179||full,Unassigned,Unassigned,Unassigned,preVC_1565,Clustered,VC_1565_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_301802||full,Unassigned,Unassigned,Unassigned,preVC_1566,Clustered,VC_1566_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_301818||full,Unassigned,Unassigned,Unassigned,preVC_419,Clustered,VC_419_0,5,0.5989,0.98642875,3.754915351542288,0.5908,1.0,0,0,0
k141_301857||full,Unassigned,Unassigned,Unassigned,preVC_1567,Clustered,VC_1567_0,2,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_301909||full,Unassigned,Unassigned,Unassigned,preVC_419,Clustered,VC_419_0,5,0.5989,0.98642875,3.754915351542288,0.5908,1.0,0,0,0
k141_301910||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301914||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301921||full,Unassigned,Unassigned,Unassigned,,Overlap (VC_583/VC_1152),,,,,,,,,,
k141_301942||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301959||lt2gene,Unassigned,Unassigned,Unassigned,preVC_907,Clustered,VC_907_0,8,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_301972||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_301998||full,Unassigned,Unassigned,Unassigned,preVC_1568,Clustered,VC_1568_0,2,0.5159,0.5,2.6457513110645907,0.2579,1.0,0,0,0
k141_302024||lt2gene,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_302042||full,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
k141_302054||full,Unassigned,Unassigned,Unassigned,preVC_1569,Clustered,VC_1569_0,6,1.0,0.0,0.0,0.0,1.0,0,0,0
k141_302156||full,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
k141_302162||full,Unassigned,Unassigned,Unassigned,preVC_699,Clustered,VC_699_0,4,0.2057,0.4349441,2.2675918792439984,0.0895,1.0,0,0,0
k141_302173||full,Unassigned,Unassigned,Unassigned,preVC_1239,Clustered,VC_1239_0,4,0.7009,0.86559324,2.1138159045312555,0.6067,1.0,0,0,0
